ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.229.254.163","elite","AS23679","ID","Media Antar Nusa PT.","194","Nusanet","1080","socks4","5097","2","2023-06-12T16:27:32.052Z","97","2127","2194"
"104.16.207.86","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5087","3","2023-06-12T16:27:32.050Z","100","2225","2225"
"78.90.92.28","elite","AS35141","BG","A1 Bulgaria EAD","97","Megalan Network Ltd.","5678","socks4","4504","1","2023-06-12T16:27:31.933Z","98","2169","2221"
"103.51.44.5","elite","AS133819","ID","CIM","285","N/A","4145","socks4","4996","1","2023-06-12T16:27:30.232Z","99","2209","2224"
"185.97.122.253","elite","AS200752","IT","Unitel S.R.L.","27","Spinnaker Srl","4153","socks4","4800","1","2023-06-12T16:27:30.440Z","96","2106","2204"
"187.157.30.202","elite","AS8151","MX","Uninet S.A. de C.V.","296","Uninet S.A. de C.V.","4153","socks4","4686","1","2023-06-12T16:27:30.152Z","98","2171","2222"
"83.228.47.75","elite","AS8866","BG","BTC-BROADBAND","91","Bulgarian Telecommunications Company Plc.","2086","socks5","3303","84","2023-06-12T16:27:30.432Z","99","2116","2138"
"138.97.0.66","elite","AS262346","BR","FP Telecomunicacoes Ltda","212","FP Telecomunicacoes Ltda","4145","socks4","4805","1","2023-06-12T16:27:30.434Z","73","1614","2196"
"49.70.82.204","elite","AS4134","CN","Chinanet","194","Chinanet JS","44844","socks5","4889","1","2023-06-12T16:27:30.433Z","51","1117","2192"
"159.65.116.119","elite","AS14061","DE","DigitalOcean, LLC","33","DigitalOcean, LLC","30199","socks5","4893","1","2023-06-12T16:27:30.439Z","94","2105","2234"
"148.153.23.18","elite","AS63199","US","CDS Global Cloud Co., Ltd","199","CDS Global Cloud Co., Ltd","39593","socks4","4509","1","2023-06-12T16:27:30.433Z","100","2236","2237"
"41.190.233.56","elite","AS37638","CD","ORIONCOM-SAT","187","N/A","5678","socks4","3407","1","2023-06-12T16:27:28.640Z","99","2213","2228"
"35.244.232.197","elite","AS15169","US","Google LLC","2","Google Cloud","80","socks4","5102","2","2023-06-12T16:27:28.742Z","100","2111","2111"
"114.9.16.50","elite","AS4761","ID","PT. INDOSAT Tbk","193","PT. INDOSAT Tbk","5678","socks4","4894","1","2023-06-12T16:27:28.743Z","99","2215","2233"
"104.16.105.142","elite","AS13335","US","Cloudflare, Inc.","8","Cloudflare, Inc.","80","socks4","4502","84","2023-06-12T16:27:28.740Z","100","2201","2201"
"66.152.171.75","elite","AS35916","US","Multacom Corporation","163","Multacom Corporation","59057","socks5","4812","1","2023-06-12T16:27:28.743Z","84","1847","2207"
"201.159.8.126","elite","AS263778","AR","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","290","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","5678","socks4","4701","2","2023-06-12T16:27:28.642Z","96","2123","2222"
"92.255.172.214","elite","AS41682","RU","CJSC \"ER-Telecom Holding\" Tyumen' branch","99","CJSC \"ER-Telecom Holding\" Tyumen branch","8080","socks5","4712","2","2023-06-12T16:27:28.640Z","100","2111","2121"
"113.53.247.221","elite","AS131293","TH","TOT Public Company Limited","166","TOT Public Company Limited","4153","socks4","3713","1","2023-06-12T16:27:26.647Z","87","1942","2223"
"103.82.11.233","elite","AS136156","BD","FNF Online","183","N/A","4153","socks4","4395","1","2023-06-12T16:27:26.646Z","99","2195","2222"
"194.113.104.148","elite","AS59504","RU","vpsville.ru","102","Vpsville LLC","3600","socks4","4609","2","2023-06-12T16:27:26.935Z","100","2164","2166"
"45.196.151.120","elite","AS7018","US","AT&T Services","98","AQUA Networks Limited","5432","socks4","4492","1","2023-06-12T16:27:26.646Z","97","2102","2162"
"45.77.222.98","elite","AS20473","US","The Constant Company","101","Vultr Holdings, LLC","10312","socks5","4997","1","2023-06-12T16:27:25.235Z","57","1211","2113"
"119.197.0.17","elite","AS4766","KR","Korea Telecom","230","Kornet","4145","socks4","5093","1","2023-06-12T16:27:25.148Z","100","2225","2233"
"110.139.125.237","elite","AS7713","ID","PT. TELKOM INDONESIA","286","N/A","4145","socks4","4703","4","2023-06-12T16:27:25.148Z","88","1906","2169"
"128.199.114.221","elite","AS14061","SG","DigitalOcean, LLC","188","DigitalOcean, LLC","60879","socks5","4897","1","2023-06-12T16:27:25.147Z","100","2168","2170"
"192.154.244.92","elite","AS64200","US","Vivid-hosting LLC","183","Vivid-hosting LLC","9000","socks4","4794","1","2023-06-12T16:27:24.936Z","100","2213","2220"
"178.154.228.16","elite","AS200350","RU","Yandex Cloud","50","N/A","9050","socks5","5196","2","2023-06-12T16:27:24.934Z","100","2231","2232"
"182.253.158.114","elite","AS17451","ID","BIZNET","189","N/A","4145","socks4","4693","1","2023-06-12T16:27:23.352Z","95","2110","2215"
"78.137.58.119","elite","AS25133","UA","broadband","102","N/A","5678","socks4","4294","1","2023-06-12T16:27:23.436Z","57","1227","2144"
"181.40.90.26","elite","AS23201","PY","Telecel S.A.","238","Telecel S.A","999","socks5","5083","1","2023-06-12T16:27:23.339Z","99","2216","2232"
"103.69.20.38","elite","AS135724","IN","Allnet Broadband Network PVT LTD","157","Allnet Broadband Network Pvt Ltd","4145","socks4","4808","1","2023-06-12T16:27:23.353Z","100","2166","2170"
"172.104.154.229","elite","AS63949","DE","Akamai Technologies","11","Linode","1082","socks5","4198","1","2023-06-12T16:27:22.043Z","100","2170","2170"
"111.53.178.249","elite","AS56042","CN","China Mobile communications corporation","317","China Mobile","7302","socks5","5102","1","2023-06-12T16:27:22.039Z","71","1504","2112"
"182.34.147.247","elite","AS4134","CN","Chinanet","215","Chinanet SD","1080","socks4","4787","85","2023-06-12T16:27:22.039Z","46","987","2152"
"104.19.171.188","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","4697","1","2023-06-12T16:27:22.038Z","100","2121","2121"
"186.219.96.47","elite","AS262420","BR","Cabonnet Internet Ltda","214","Cabonnet Internet Ltda","49923","socks4","3701","1","2023-06-12T16:27:21.843Z","99","2212","2228"
"94.23.4.127","elite","AS16276","FR","OVH ISP","5","OVH","8444","socks4","4600","2","2023-06-12T16:27:21.841Z","100","2234","2234"
"103.233.154.19","elite","AS17451","ID","BIZNET","192","N/A","4145","socks4","4586","1","2023-06-12T16:27:21.842Z","99","2209","2227"
"61.7.138.71","elite","AS131090","TH","CAT Telecom Public Company Limited","197","National Telecom Public Company Limited","4145","socks4","4795","1","2023-06-12T16:27:20.344Z","85","1888","2211"
"172.105.97.61","elite","AS63949","CA","Akamai Technologies","91","Linode","61743","socks5","4903","83","2023-06-12T16:27:20.348Z","100","2122","2122"
"112.250.106.50","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","170","N/A","7302","socks5","4408","97","2023-06-12T16:27:20.344Z","75","1680","2230"
"190.2.144.46","elite","AS49981","NL","WorldStream B.V.","15","WorldStream B.V","18013","socks4","4501","1","2023-06-12T16:27:20.349Z","72","1528","2121"
"94.182.26.44","elite","AS31549","IR","Aria Shatel Company Ltd","126","Shtl NET DED","4153","socks4","5001","85","2023-06-12T16:27:20.343Z","95","2117","2230"
"123.200.9.30","elite","AS23688","BD","Link3 Technologies Limited","166","Corporate Subscriber","5678","socks4","4698","1","2023-06-12T16:27:20.343Z","96","2145","2232"
"31.210.225.135","elite","AS42666","ES","Embou Clientes","384","N/A","4153","socks4","4790","1","2023-06-12T16:27:18.241Z","84","1866","2232"
"81.199.14.49","elite","AS36892","GB","IPTEC Limited","204","Gilat Satcom Ltd.","1088","socks4","4898","2","2023-06-12T16:27:18.236Z","99","2206","2232"
"64.90.50.227","elite","AS26347","US","New Dream Network, LLC","185","New Dream Network, LLC","55552","socks5","4594","1","2023-06-12T16:27:18.334Z","100","2166","2166"
"46.227.37.65","elite","AS51155","PL","Telemedian - TB Telecom","41","Telemedian","1088","socks4","4903","2","2023-06-12T16:27:18.240Z","100","2105","2112"
"201.234.24.9","elite","AS265758","AR","Cooperativa De Obras Y Servicios Publicos De Despenaderos Limitada","263","Level 3 Argentina S.A","4153","socks4","2609","1","2023-06-12T16:27:18.239Z","96","2096","2189"
"103.30.0.249","elite","AS131778","ID","PT. Dian Nuswantoro Teknologi","205","N/A","4145","socks4","5087","1","2023-06-12T16:27:18.333Z","99","2179","2190"
"1.4.214.148","elite","AS23969","TH","TOT Public Company Limited","184","TOT Public Company Limited","5678","socks4","5101","1","2023-06-12T16:27:18.235Z","99","2214","2227"
"173.249.2.150","elite","AS51167","DE","Contabo GmbH","98","Contabo GmbH","57725","socks4","4706","1","2023-06-12T16:27:18.332Z","100","2107","2117"
"176.236.98.171","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","75","Veganet Teknolojileri VE Hizmetleri Limited","9090","socks5","4904","81","2023-06-12T16:27:18.753Z","100","2161","2170"
"117.102.224.38","elite","AS23756","ID","PT Padi Internet","205","N/A","1080","socks4","5096","1","2023-06-12T16:27:18.335Z","100","2227","2231"
"79.100.14.137","elite","AS8866","BG","BTC-BROADBAND","87","BTC Plc","8080","socks5","3095","1","2023-06-12T16:27:18.334Z","99","2139","2157"
"104.16.221.57","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4911","1","2023-06-12T16:27:16.238Z","100","2153","2154"
"189.174.143.230","elite","AS8151","MX","Uninet S.A. de C.V","185","Gestión de direccionamiento UniNet","4145","socks4","4898","1","2023-06-12T16:27:16.039Z","92","2054","2232"
"138.201.92.34","elite","AS24940","DE","Hetzner Online GmbH","26","Hetzner","1080","socks5","4990","1","2023-06-12T16:27:16.038Z","97","2062","2116"
"46.227.37.177","elite","AS51155","PL","Telemedian - TB Telecom","42","Telemedian","1088","socks4","4894","1","2023-06-12T16:27:16.040Z","100","2198","2204"
"154.72.183.230","elite","AS15964","CM","CAMTEL additional","182","N/A","5678","socks4","5091","1","2023-06-12T16:27:16.240Z","80","1748","2195"
"99.26.234.177","elite","AS7018","US","AT&T Services, Inc.","119","Private Customer - AT&T Internet Services","5678","socks4","4919","1","2023-06-12T16:27:16.039Z","99","2126","2155"
"64.124.145.1","elite","AS6461","US","Zayo Bandwidth","114","D&P Digital Forensics LLC","1080","socks4","4796","1","2023-06-12T16:27:16.037Z","100","2194","2199"
"143.255.179.129","elite","AS264641","CL","LanProject SPA","198","LanProject SPA","4153","socks4","4800","1","2023-06-12T16:27:14.449Z","99","2188","2200"
"217.66.223.186","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","135","Fanaptelecom Network","5678","socks5","4508","1","2023-06-12T16:27:14.643Z","84","1861","2205"
"113.204.4.142","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","257","N/A","10800","socks4","4302","1","2023-06-12T16:27:14.447Z","77","1713","2232"
"34.64.4.97","elite","AS139070","KR","Google Asia Pacific Pte. Ltd.","286","Google LLC","80","socks5","4406","1","2023-06-12T16:27:14.448Z","100","2108","2108"
"88.198.165.115","elite","AS24940","DE","Hetzner","15","Astrid Stolper + André Malo GbR","48139","socks5","4803","1","2023-06-12T16:27:14.649Z","80","1677","2106"
"104.20.75.69","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","3901","2","2023-06-12T16:27:13.146Z","100","2138","2138"
"190.104.26.227","elite","AS27882","BO","Telefónica Celular de Bolivia S.A.","197","Telefónica Celular de Bolivia S.A","33638","socks4","3998","1","2023-06-12T16:27:12.941Z","100","2217","2219"
"103.79.96.173","elite","AS64308","ID","PT IndoDev Niaga Internet","203","PT IndoDev Niaga Internet","4153","socks4","3094","1","2023-06-12T16:27:12.939Z","99","2178","2191"
"80.191.169.81","elite","AS58224","IR","Information Technology Company","199","Azad University of Anar","4145","socks4","4694","1","2023-06-12T16:27:12.940Z","90","2001","2233"
"188.166.239.48","elite","AS14061","SG","DigitalOcean, LLC","196","Digitalocean","3128","socks4","4815","1","2023-06-12T16:27:12.938Z","100","2195","2196"
"83.168.84.142","elite","AS31304","PL","ESPOL-FH","39","N/A","4153","socks4","4890","2","2023-06-12T16:27:12.940Z","98","2160","2201"
"51.77.73.67","elite","AS16276","DE","OVH SAS","86","Sastre Vazquez Antonio","31979","socks4","4903","1","2023-06-12T16:27:11.533Z","100","2168","2174"
"197.234.13.61","elite","AS36902","SC","Intelvision","174","Intelvision Ltd","4145","socks4","3703","1","2023-06-12T16:27:11.242Z","99","2114","2125"
"109.110.82.245","elite","AS35816","UA","Lancom Ltd.","75","Lancom Ltd","5678","socks4","5505","1","2023-06-12T16:27:11.532Z","97","2160","2225"
"87.121.77.130","elite","AS60784","BG","Neterra Ltd.","42","N/A","4145","socks4","4909","1","2023-06-12T16:27:11.243Z","100","2229","2230"
"103.76.190.81","elite","AS135758","IN","Alacriy Net System Service Private Limited","181","Alacriy Net System Service Private Limited","4153","socks4","4796","1","2023-06-12T16:27:11.244Z","99","2155","2167"
"153.99.224.114","elite","AS4837","CN","CHINA UNICOM China169 Backbone","187","Unicom JS","1080","socks5","5099","1","2023-06-12T16:27:11.442Z","76","1625","2140"
"110.74.195.33","elite","AS38901","KH","EZECOM limited","296","EZECOM limited","5678","socks4","3697","1","2023-06-12T16:27:11.245Z","96","2120","2199"
"49.49.91.24","elite","AS45629","TH","Triple T Broadband Public Company Limited","196","Triple T Broadband Public Company Limited","5678","socks4","5094","1","2023-06-12T16:27:11.438Z","98","2175","2209"
"80.191.185.156","elite","AS58224","IR","Iran Telecommunication Company PJS","120","Guilan Telecommunication Company","5678","socks4","1197","1","2023-06-12T16:27:11.244Z","86","1913","2229"
"41.242.66.74","elite","AS37605","NG","General Telecommunication Networks Limited","117","General Telecommunication Networks Limited","5678","socks4","3701","5","2023-06-12T16:27:11.437Z","91","1961","2154"
"79.79.18.76","elite","AS9105","GB","TalkTalk","29","TalkTalk Communications Limited","5678","socks4","4601","1","2023-06-12T16:27:09.447Z","100","2149","2152"
"1.2.216.101","elite","AS23969","TH","TOT Public Company Limited","195","TOT Public Company Limited","4145","socks4","2501","1","2023-06-12T16:27:09.645Z","78","1693","2175"
"199.188.89.136","elite","AS64200","US","Vivid-hosting LLC","192","Vivid-hosting LLC","9000","socks4","4711","85","2023-06-12T16:27:09.446Z","100","2196","2199"
"95.164.66.80","elite","AS39762","UA","VAK Ltd.","100","VAK Ltd","5678","socks4","4402","1","2023-06-12T16:27:08.048Z","92","2042","2227"
"202.191.15.253","elite","AS9224","AU","Swoop Telecommunications Pty Ltd","287","Swoop Telecommunications Pty Ltd","4145","socks4","2500","83","2023-06-12T16:27:08.132Z","100","2108","2110"
"198.211.99.26","elite","AS14061","US","DigitalOcean, LLC","88","Digital Ocean","9300","socks5","4190","1","2023-06-12T16:27:08.138Z","100","2214","2225"
"196.44.184.138","elite","AS31856","ZW","YoAHRE-MAIN","198","N/A","5678","socks4","4897","1","2023-06-12T16:27:08.049Z","83","1854","2235"
"117.202.20.70","elite","AS9829","IN","BSNL Internet","191","NIB","1088","socks4","4198","1","2023-06-12T16:27:07.935Z","96","2149","2232"
"86.104.27.175","elite","AS29119","ES","Aire Networks Del Mediterraneo SL Unipersonal","98","Aire Networks Del Mediterraneo SL Unipersonal","7497","socks4","4994","1","2023-06-12T16:27:07.936Z","100","2158","2164"
"41.225.229.55","elite","AS37671","TN","3S INF","60","ATI - Agence Tunisienne Internet","1080","socks4","3800","1","2023-06-12T16:27:07.935Z","98","2145","2179"
"36.94.35.245","elite","AS7713","ID","PT. Telekomunikasi Indonesia","218","Telekomunikasi Indonesia","5678","socks5","5011","1","2023-06-12T16:27:07.932Z","99","2112","2126"
"58.255.226.56","elite","AS17816","CN","CNC Group CHINA169 Guangdong Province Network","287","N/A","1080","socks4","4702","2","2023-06-12T16:27:07.933Z","62","1338","2156"
"121.101.131.91","elite","AS131706","ID","PT SELARAS CITRA TERABIT","284","Terabit","1080","socks4","4896","1","2023-06-12T16:27:06.442Z","98","2198","2235"
"103.251.221.37","elite","AS58972","IN","BHOMIKA","189","Bhomika","4145","socks4","2994","1","2023-06-12T16:27:04.738Z","100","2219","2230"
"159.65.253.201","elite","AS14061","US","DigitalOcean, LLC","94","Digital Ocean","51080","socks5","4916","1","2023-06-12T16:27:04.934Z","99","2119","2131"
"185.205.249.24","elite","AS57389","HU","ZNET Telekom Zrt","87","Znettelekom","45264","socks4","4892","1","2023-06-12T16:27:04.740Z","100","2173","2174"
"187.85.157.26","elite","AS53062","BR","Ggnet Telecom Backbone","213","Ggnet Telecom Backbone","5678","socks4","4800","1","2023-06-12T16:27:04.741Z","100","2155","2158"
"88.218.104.159","elite","AS33083","US","AxcelX Technologies LLC","79","Hostmetric VPN","22272","socks4","5103","1","2023-06-12T16:27:04.934Z","100","2129","2131"
"103.4.118.130","elite","AS38203","BD","ADN Telecom Ltd.","297","ADN Telecom Limited.","5678","socks4","4999","1","2023-06-12T16:27:04.737Z","87","1945","2229"
"162.12.217.30","elite","AS204902","FR","Weelax","183","XIWO","3629","socks4","4805","1","2023-06-12T16:27:03.133Z","98","2115","2154"
"203.24.102.74","elite","AS209242","VG","Cloudflare London, LLC","2","Anaga Consulting Limited","80","socks4","4807","1","2023-06-12T16:27:03.148Z","100","2209","2211"
"103.205.128.7","elite","AS134850","IN","WAY 2 INTERNET PRIVATE LIMITED","189","WAY 2 Internet Private Limited","4145","socks4","4507","2","2023-06-12T16:27:03.134Z","99","2205","2226"
"185.6.10.3","elite","AS12552","SE","GlobalConnect AB","37","Internet Vikings International AB","21619","socks5","4715","84","2023-06-12T16:27:03.235Z","100","2154","2154"
"131.255.93.98","elite","AS264475","BR","Attus Tecnologia em Telecomunicações Ltda","296","Attus Tecnologia em Telecomunicações Ltda","5678","socks4","4692","1","2023-06-12T16:27:03.149Z","57","1197","2115"
"186.251.255.249","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","286","Seanet Telecom Carazinho Eireli","31337","socks4","5109","1","2023-06-12T16:27:03.044Z","99","2168","2201"
"202.52.237.117","elite","AS4613","NP","Mercantile Office Systems","194","Mercantile Communications Pvt Ltd","8080","socks4","4704","1","2023-06-12T16:27:03.150Z","99","2119","2139"
"193.107.169.222","elite","AS50648","UA","PE UAinet","101","PE UAinet","5678","socks4","3397","2","2023-06-12T16:27:03.047Z","99","2195","2217"
"117.54.201.91","elite","AS9340","ID","PT IndoInternet","194","N/A","5678","socks4","4812","1","2023-06-12T16:27:03.047Z","99","2198","2230"
"104.16.72.45","elite","AS13335","US","Cloudflare, Inc.","79","Cloudflare, Inc.","80","socks4","3612","1","2023-06-12T16:27:03.147Z","100","2116","2116"
"200.0.247.83","elite","AS10834","AR","Telefonica de Argentina","246","Smart S.A","4153","socks4","4707","1","2023-06-12T16:27:03.046Z","99","2145","2156"
"187.95.82.57","elite","AS262696","BR","Turbonet TelecomunicaÔÔes","192","Turbonet Telecomunicações","3629","socks4","4805","87","2023-06-12T16:27:03.045Z","99","2197","2210"
"181.233.95.18","elite","AS271441","BR","J.A TELECOM.PE","197","Ewerton da Silva Lopes","5678","socks4","4404","1","2023-06-12T16:27:03.150Z","98","2191","2228"
"148.251.232.232","elite","AS24940","DE","Hetzner Online GmbH","26","Hetzner","30263","socks4","4689","1","2023-06-12T16:27:03.148Z","100","2219","2221"
"212.83.130.68","elite","AS12876","FR","Online S.A.S.","83","ONLINE","59480","socks4","5002","1","2023-06-12T16:27:03.134Z","100","2147","2152"
"213.6.67.86","elite","AS12975","PS","Palestine Telecommunications Company","61","Palestine Telecommunications Company","54260","socks4","4598","1","2023-06-12T16:27:01.453Z","100","2164","2165"
"203.28.9.107","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks5","5197","1","2023-06-12T16:27:01.442Z","100","2232","2232"
"103.120.135.229","elite","AS38235","KH","Angkor Data Communication","199","N/A","33427","socks5","5000","1","2023-06-12T16:27:01.443Z","99","2109","2120"
"49.0.2.243","elite","AS55701","ID","PT Usaha Adi Sanggoro","178","N/A","5430","socks4","4392","1","2023-06-12T16:26:59.433Z","98","2184","2236"
"119.91.250.25","elite","AS45090","CN","China Internet Network Information Center","290","Tencent cloud computing (Beijing) Co., Ltd.","6666","socks5","4487","1","2023-06-12T16:26:59.349Z","73","1582","2156"
"85.237.51.73","elite","AS12389","RU","PJSC Rostelecom","60","PJSC Rostelecom","4145","socks4","5004","1","2023-06-12T16:26:59.434Z","98","2193","2228"
"51.81.31.66","elite","AS16276","US","OVH SAS","188","OVH US LLC","54535","socks4","5096","2","2023-06-12T16:26:59.349Z","100","2207","2207"
"194.195.240.60","elite","AS63949","DE","Akamai Technologies, Inc.","85","Linode","54210","socks4","3408","1","2023-06-12T16:26:59.437Z","70","1501","2134"
"202.158.49.138","elite","AS4787","ID","PT. Cyberindo Aditama","210","N/A","39172","socks4","5096","1","2023-06-12T16:26:59.436Z","93","2056","2220"
"104.16.81.76","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","4710","1","2023-06-12T16:26:59.437Z","100","2147","2147"
"187.115.160.253","elite","AS18881","BR","TELEFÔNICA BRASIL S.A","187","Global Village Telecom","3629","socks4","4602","1","2023-06-12T16:26:59.437Z","26","587","2228"
"41.60.235.118","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","161","Liquid Telecommunications Operations Limited","5678","socks4","1415","1","2023-06-12T16:26:59.436Z","81","1759","2175"
"202.93.228.13","elite","AS38758","ID","PT. HIPERNET INDODATA","204","Hypernet","4153","socks4","4497","2","2023-06-12T16:26:59.438Z","100","2198","2209"
"139.59.99.83","elite","AS14061","SG","DIGITALOCEAN","197","DigitalOcean, LLC","80","socks5","4712","1","2023-06-12T16:26:59.348Z","100","2142","2142"
"190.128.203.214","elite","AS23201","PY","Telecel S.A.","225","Telecel S.A","3128","socks4","4903","2","2023-06-12T16:26:59.434Z","100","2166","2169"
"70.32.25.147","elite","AS55293","US","A2 Hosting, Inc.","89","A2 Hosting, Inc.","36546","socks4","4797","1","2023-06-12T16:26:59.742Z","100","2133","2136"
"157.185.160.74","elite","AS54994","US","Meteverse Limited.","99","Meteverse Limited","26589","socks5","3505","3","2023-06-12T16:26:57.134Z","100","2104","2109"
"75.119.201.151","elite","AS26347","US","New Dream Network, LLC","163","New Dream Network, LLC","15745","socks5","4994","1","2023-06-12T16:26:56.647Z","100","2216","2217"
"103.235.66.198","elite","AS63490","ID","PT Artha Media Lintas Nusa","200","N/A","5678","socks4","4887","1","2023-06-12T16:26:56.648Z","99","2162","2194"
"36.90.105.11","elite","AS7713","ID","PT. Telekomunikasi Indonesia","202","Telekomunikasi Indonesia","3128","socks4","4989","1","2023-06-12T16:26:56.646Z","98","2167","2213"
"148.251.179.103","elite","AS24940","DE","Hetzner Online GmbH","97","Hetzner","30241","socks4","4909","80","2023-06-12T16:26:55.039Z","100","2203","2203"
"188.166.217.4","elite","AS14061","SG","DigitalOcean, LLC","229","Digitalocean","20278","socks5","4704","1","2023-06-12T16:26:54.945Z","100","2111","2117"
"113.125.45.40","elite","AS58519","CN","Cloud Computing Corporation","285","Chinanet SD","59290","socks5","4898","4","2023-06-12T16:26:54.948Z","18","406","2231"
"31.43.63.70","elite","AS50581","UA","Ukrainian Telecommunication Group LLC","43","UTELECOMUA B2","4145","socks4","5091","1","2023-06-12T16:26:54.746Z","94","2104","2230"
"103.250.73.178","elite","AS17819","JP","UPRIGHT","294","Upright Inc.","8444","socks5","5098","2","2023-06-12T16:26:54.948Z","100","2224","2235"
"154.66.108.19","elite","AS37642","LS","Comnet Pty Ltd","200","ISPClients","10081","socks4","4904","1","2023-06-12T16:26:54.947Z","96","2150","2233"
"114.99.13.48","elite","AS4134","CN","Chinanet","203","Chinanet AH","8004","socks4","4300","1","2023-06-12T16:26:54.946Z","42","930","2193"
"103.12.246.65","elite","AS134941","IN","Instant Cable Network PVT LTD","198","Instant Cable Network PVT LTD","4145","socks4","4501","1","2023-06-12T16:26:53.144Z","100","2215","2224"
"196.0.39.50","elite","AS21491","UG","Uganda Telecom Ltd","166","UTL","5678","socks4","5105","1","2023-06-12T16:26:53.145Z","75","1655","2199"
"105.27.199.218","elite","AS37100","ZA","SEACOM Limited","184","Seacom Assignments","5678","socks4","5186","1","2023-06-12T16:26:53.143Z","95","2075","2195"
"103.208.203.1","elite","AS133275","IN","Gigantic","182","N/A","5678","socks4","5000","1","2023-06-12T16:26:53.241Z","99","2181","2207"
"180.183.134.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","190","Triple T Broadband Public Company Limited","8080","socks4","4700","1","2023-06-12T16:26:53.142Z","99","2093","2111"
"170.254.255.241","elite","AS52584","BR","Connect Fibra","293","Connect Fibra","45816","socks4","4708","1","2023-06-12T16:26:52.947Z","99","2193","2225"
"186.235.184.194","elite","AS61888","BR","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","195","Avil Tecidos Recife Ltda","4153","socks4","4890","2","2023-06-12T16:26:52.947Z","100","2186","2190"
"59.152.104.138","elite","AS58715","BD","Earth Telecommunication ( pvt ) Limited","177","N/A","32075","socks4","5099","1","2023-06-12T16:26:52.944Z","98","2185","2224"
"182.84.149.121","elite","AS4134","CN","Chinanet","214","Chinanet JX","44844","socks4","4701","1","2023-06-12T16:26:52.943Z","34","748","2215"
"193.106.73.102","elite","AS50283","RU","Business Center Ltd","55","Business Center Nov Ltd","41883","socks4","5200","1","2023-06-12T16:26:52.942Z","95","2054","2160"
"167.86.94.3","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","12258","socks4","4898","1","2023-06-12T16:26:51.047Z","80","1749","2179"
"41.60.232.61","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","203","Liquid Telecommunications Operations Limited","5678","socks4","4904","3","2023-06-12T16:26:51.046Z","80","1728","2168"
"46.200.72.130","elite","AS6849","UA","UKRTELECOM","52","JSC Ukrtelecom","5678","socks4","3108","1","2023-06-12T16:26:51.332Z","93","1970","2110"
"185.220.226.235","elite","AS205585","TR","Noyan Abr Arvan Co. ( Private Joint Stock)","94","Noyan Abr Arvan Co. ( Private Joint Stock)","808","socks4","5008","1","2023-06-12T16:26:49.741Z","78","1661","2123"
"190.113.12.75","elite","AS22860","CL","Servicios Internet Ltda","202","TECNOERA-WEBHOSTING","3389","socks5","4697","3","2023-06-12T16:26:49.538Z","100","2169","2174"
"218.1.142.61","elite","AS4812","CN","China Telecom","397","N/A","57114","socks5","4496","1","2023-06-12T16:26:49.743Z","19","396","2128"
"117.102.78.165","elite","AS17451","ID","BIZNET","197","N/A","1080","socks4","4394","1","2023-06-12T16:26:49.539Z","97","2114","2176"
"103.213.245.105","elite","AS18254","HK","Klayer LLC","190","N/A","4003","socks5","4893","1","2023-06-12T16:26:49.743Z","86","1866","2166"
"178.128.21.246","elite","AS14061","SG","DigitalOcean, LLC","175","Digitalocean","56108","socks4","3095","1","2023-06-12T16:26:49.742Z","99","2151","2165"
"103.47.93.245","elite","AS134058","IN","Broban Internet Services Pvt.ltd","197","Broban  PVT Ltd.","1080","socks4","5184","1","2023-06-12T16:26:49.539Z","99","2210","2230"
"119.18.159.34","elite","AS55685","ID","PT. Jala Lintas Media","192","N/A","4145","socks4","4808","1","2023-06-12T16:26:48.039Z","99","2199","2220"
"45.8.106.212","elite","AS209242","DE","Cloudflare London","3","Araxio Development N.V","80","socks4","4593","1","2023-06-12T16:26:48.036Z","100","2198","2198"
"203.30.189.103","elite","AS209242","US","Cloudflare London","2","Umpire Associates LTD","80","socks4","892","1","2023-06-12T16:26:48.038Z","100","2109","2109"
"23.148.64.71","elite","AS393857","US","Premier Satellite","138","Premier Satellite llc","39593","socks4","4795","1","2023-06-12T16:26:47.834Z","99","2219","2233"
